GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
recipe-planner-backend,ch.tbz.recipe.planner.entities,IngredientEntity,186,52,40,0,1,7,24,12,4,12
recipe-planner-backend,ch.tbz.recipe.planner.entities,RecipeEntity,203,52,46,0,1,7,27,12,4,12
recipe-planner-backend,ch.tbz.recipe.planner.mapper,RecipeEntityMapperImpl,61,124,8,8,17,34,7,8,1,6
recipe-planner-backend,ch.tbz.recipe.planner.mapper,IngredientEntityMapperImpl,63,58,8,4,18,15,7,4,2,3
recipe-planner-backend,ch.tbz.recipe.planner.mapper,CommonMapperConfig,3,0,0,0,1,0,1,0,1,0
recipe-planner-backend,ch.tbz.recipe.planner,RecipePlannerApplication,5,136,0,0,2,15,1,6,1,6
recipe-planner-backend,ch.tbz.recipe.planner.domain,Unit,0,33,0,0,0,6,0,1,0,1
recipe-planner-backend,ch.tbz.recipe.planner.domain,Ingredient,182,56,40,0,0,8,24,12,4,12
recipe-planner-backend,ch.tbz.recipe.planner.domain,Recipe,199,56,46,0,0,8,27,12,4,12
recipe-planner-backend,ch.tbz.recipe.planner.service,RecipeService,40,9,0,0,5,4,3,1,3,1
recipe-planner-backend,ch.tbz.recipe.planner.controller,RecipeController,0,39,0,0,0,8,0,5,0,5
